set,lcbatch,sortday,digest
180925S_X_FP60A,easy12,s1,A
180925S_X_FP60B,easy12,s1,A
180925S_X_FP60C,easy12,s1,A
180925S_X_FP60D,easy12,s1,A
180925S_X_FP61A,easy12,s1,B
180925S_X_FP61B,easy12,s1,B
180925S_X_FP61C,easy12,s1,B
180925S_X_FP61D,easy12,s1,B
180927S_X_FP62A,easy12,s2,C
180927S_X_FP62B,easy12,s2,C
180927S_X_FP62C,easy12,s2,C
180927S_X_FP62D,easy12,s2,C
180927S_X_FP62E,easy12,s2,C
180927S_X_FP62F,easy12,s2,C
180927S_X_FP62G,easy12,s2,C
180927S_X_FP62H,easy12,s2,C
180927S_X_FP62I,easy12,s2,C
180927S_X_FP62J,easy12,s2,C
180927S_X_FP62K,easy12,s2,C
180927S_X_FP62L,easy12,s2,C
180927S_X_FP62M,easy12,s2,C
180927S_X_FP62N,easy12,s2,C
180927S_X_FP62O,easy12,s2,C
180928S_X_FP64A,easy12,s3,D
180928S_X_FP64B,easy12,s3,D
180928S_X_FP64C,easy12,s3,D
180928S_X_FP64D,easy12,s3,D
181004S_X_FP64E,easy12,s3,D
181004S_X_FP64F,easy12,s3,D
181004S_X_FP64G,easy12,s3,D
181004S_X_FP64H,easy12,s3,D
181004S_X_FP64I,easy12,s3,D
181004S_X_FP64J,easy12,s3,D
181004S_X_FP64K,easy12,s3,D
181004S_X_FP64L,easy12,s3,D
181004S_X_FP64M,easy12,s3,D
181004S_X_FP64N,easy12,s3,D
181024S_X_FP72E,easy12,s4,E
181024S_X_FP72F,easy12,s4,E
181024S_X_FP72G,easy12,s4,E
181024S_X_FP72H,easy12,s4,E
181024S_X_FP72M,easy12,s4,E
181024S_X_FP72N,easy12,s4,E
181024S_X_FP72O,easy12,s4,E
181024S_X_FP72P,easy12,s4,E
181026S_X_FP74A,easy12,s4,F
181026S_X_FP74B,easy12,s4,F
181026S_X_FP74C,easy12,s4,F
181026S_X_FP74D,easy12,s4,F
181026S_X_FP74E,easy12,s4,F
181026S_X_FP74F,easy12,s4,F
181026S_X_FP74G,easy12,s4,F
181026S_X_FP74H,easy12,s4,F
181026S_X_FP74I,easy12,s4,F
181026S_X_FP74J,easy12,s4,F
181026S_X_FP74K,easy12,s4,F
181026S_X_FP74L,easy12,s4,F
181026S_X_FP74M,easy12,s4,F
181026S_X_FP74N,easy12,s4,F
181101_X_FP75A,easy12,s4,G
181101_X_FP75C,easy12,s4,G
181101_X_FP75E,easy12,s4,G
181101_X_FP75G,easy12,s4,G
181115S_X_FP79A,MCA14,s5,H
181115S_X_FP79B_20181120000642,MCA14,s5,H
181115S_X_FP79B,MCA14,s5,H
181115S_X_FP79C,MCA14,s5,H
181115S_X_FP79D,MCA14,s5,H
181115S_X_FP79E,MCA14,s5,H
181115S_X_FP79F,MCA14,s5,H
181115S_X_FP79G,MCA14,s5,H
181115S_X_FP79H,MCA14,s5,H
181115S_X_FP79I,MCA14,s5,H
181115S_X_FP79J,MCA14,s5,H
181115S_X_FP79K,MCA14,s5,H
181115S_X_FP79L,MCA14,s5,H
181115S_X_FP79M,MCA14,s5,H
181115S_X_FP79N,MCA14,s5,H
181115S_X_FP79O,MCA14,s5,H
181115S_X_FP79P,MCA14,s5,H
181129S_X_FP79AA,MCA16,s5,H
181129S_X_FP79AB,MCA16,s5,H
181129S_X_FP79AC,MCA16,s5,H
181129S_X_FP79AD,MCA16,s5,H
181129S_X_FP79AE,MCA16,s5,H
181129S_X_FP79AF,MCA16,s5,H
181129S_X_FP79AG,MCA16,s5,H
181129S_X_FP79AH,MCA16,s5,H
181129S_X_FP79AI,MCA16,s5,H
181129S_X_FP79AJ,MCA16,s5,H
181129S_X_FP79AK,MCA16,s5,H
181129S_X_FP79AL,MCA16,s5,H
181129S_X_FP79AM,MCA16,s5,H
181129S_X_FP79AN,MCA16,s5,H
181129S_X_FP79AO,MCA16,s5,H
181129S_X_FP79AP,MCA16,s5,H
181212_LCA1_X_FP81A,LCA1,s5,I
181212_LCA1_X_FP81A_20181213112045,LCA1,s5,I
181212_LCA1_X_FP81B,LCA1,s5,I
181212_LCA1_X_FP81B_20181213125437,LCA1,s5,I
181212_LCA1_X_FP81C,LCA1,s5,I
181212_LCA1_X_FP81C_20181213142828,LCA1,s5,I
181212_LCA1_X_FP81D,LCA1,s5,I
181212_LCA1_X_FP81E_2,LCA1,s5,I
181212_LCA1_X_FP81F_2,LCA1,s5,I
181212_LCA1_X_FP81G_2,LCA1,s5,I
181212_LCA1_X_FP81H_2,LCA1,s5,I
181214_LCA1_X_FP81A,LCA1,s5,I
181214_LCA1_X_FP81B,LCA1,s5,I
181214_LCA1_X_FP81C,LCA1,s5,I
181216_LCA1_X_FP85A,LCA1,s5,J
181216_LCA1_X_FP85B,LCA1,s5,J
181216_LCA1_X_FP85C,LCA1,s5,J
181216_LCA1_X_FP85D,LCA1,s5,J
181216_LCA1_X_FP85E,LCA1,s5,J
181216_LCA1_X_FP85F,LCA1,s5,J
181216_LCA1_X_FP85I,LCA1,s5,J
181216_LCA1_X_FP85J,LCA1,s5,J
181216_LCA1_X_FP85K,LCA1,s5,J
181216_LCA1_X_FP85L,LCA1,s5,J
180104S_LCA4_X_FP89A,LCA4,s6,K
180104S_LCA4_X_FP89B,LCA4,s6,K
180104S_LCA4_X_FP89C,LCA4,s6,K
180104S_LCA4_X_FP89D,LCA4,s6,K
180104S_LCA4_X_FP89E,LCA4,s6,K
180104S_LCA4_X_FP89F,LCA4,s6,K
180104S_LCA4_X_FP89G,LCA4,s6,K
180104S_LCA4_X_FP89H,LCA4,s6,K
180104S_LCA4_X_FP89I,LCA4,s6,K
180104S_LCA4_X_FP89J,LCA4,s6,K
180104S_LCA4_X_FP89K,LCA4,s6,K
180104S_LCA4_X_FP89L,LCA4,s6,K
180104S_LCA4_X_FP89M,LCA4,s6,K
